filename,image_url,is_product,name,category,price,description
crowdfunding-for-ag_growing-money-1030x577.jpg,/static/images/products/crowdfunding-for-ag_growing-money-1030x577.jpg,YES,Crowdfunding For Ag Growing Money,Other,100,
crowdfunding-for-ag_growing-money.jpg,/static/images/products/crowdfunding-for-ag_growing-money.jpg,YES,Crowdfunding For Ag Growing Money,Other,100,
deepak-kumar-42bbyfbvaiw-unsplash-scaled.jpg,/static/images/products/deepak-kumar-42bbyfbvaiw-unsplash-scaled.jpg,NO,Deepak Kumar 42Bbyfbvaiw Unsplash Scaled,Other,100,
deepak-kumar-42bbyfbvaiw-unsplash.jpg,/static/images/products/deepak-kumar-42bbyfbvaiw-unsplash.jpg,NO,Deepak Kumar 42Bbyfbvaiw Unsplash,Other,100,
deepak-kumar-_ssmnhkymia-unsplash-scaled.jpg,/static/images/products/deepak-kumar-_ssmnhkymia-unsplash-scaled.jpg,NO,Deepak Kumar  Ssmnhkymia Unsplash Scaled,Other,100,
deepak-kumar-_ssmnhkymia-unsplash.jpg,/static/images/products/deepak-kumar-_ssmnhkymia-unsplash.jpg,NO,Deepak Kumar  Ssmnhkymia Unsplash,Other,100,
deepak-kumar-o9kuctihxlk-unsplash-scaled.jpg,/static/images/products/deepak-kumar-o9kuctihxlk-unsplash-scaled.jpg,NO,Deepak Kumar O9Kuctihxlk Unsplash Scaled,Other,100,
deepak-kumar-o9kuctihxlk-unsplash.jpg,/static/images/products/deepak-kumar-o9kuctihxlk-unsplash.jpg,NO,Deepak Kumar O9Kuctihxlk Unsplash,Other,100,
deepak-kumar-obymakxvuv0-unsplash-scaled.jpg,/static/images/products/deepak-kumar-obymakxvuv0-unsplash-scaled.jpg,NO,Deepak Kumar Obymakxvuv0 Unsplash Scaled,Other,100,
deepak-kumar-obymakxvuv0-unsplash.jpg,/static/images/products/deepak-kumar-obymakxvuv0-unsplash.jpg,NO,Deepak Kumar Obymakxvuv0 Unsplash,Other,100,
deepavali-2021-combo.jpg,/static/images/products/deepavali-2021-combo.jpg,NO,Deepavali 2021 Combo,Other,100,
dhairya-shah-kcrjmxvdsde-unsplash-scaled.jpg,/static/images/products/dhairya-shah-kcrjmxvdsde-unsplash-scaled.jpg,NO,Dhairya Shah Kcrjmxvdsde Unsplash Scaled,Other,100,
dhairya-shah-kcrjmxvdsde-unsplash.jpg,/static/images/products/dhairya-shah-kcrjmxvdsde-unsplash.jpg,NO,Dhairya Shah Kcrjmxvdsde Unsplash,Other,100,
dhal-appalam_1024x1024.jpg,/static/images/products/dhal-appalam_1024x1024.jpg,YES,Dhal Appalam,Other,100,
dhaniya-thool.jpg,/static/images/products/dhaniya-thool.jpg,YES,Dhaniya Thool,Other,100,
dhoop-sticks.jpg,/static/images/products/dhoop-sticks.jpg,YES,Dhoop Sticks,Other,100,
dish-wash.jpg,/static/images/products/dish-wash.jpg,YES,Dish Wash,Other,100,
diversity1.png,/static/images/products/diversity1.png,YES,Diversity1,Other,100,
dried-ginger-powder-500x500.jpg,/static/images/products/dried-ginger-powder-500x500.jpg,YES,Dried Ginger Powder,Flours,100,
dried-ginger-powder.jpg,/static/images/products/dried-ginger-powder.jpg,YES,Dried Ginger Powder,Flours,100,
dry-fruites.jpg,/static/images/products/dry-fruites.jpg,YES,Dry Fruites,Dry Fruits,100,
dry-grapes.jpg,/static/images/products/dry-grapes.jpg,YES,Dry Grapes,Dry Fruits,100,
dry-vadavam.jpg,/static/images/products/dry-vadavam.jpg,NO,Dry Vadavam,Dry Fruits,100,
duck.jpg,/static/images/products/duck.jpg,YES,Duck,Other,100,
earl-wilcox-kjpgr2sjqk8-unsplash-scaled.jpg,/static/images/products/earl-wilcox-kjpgr2sjqk8-unsplash-scaled.jpg,NO,Earl Wilcox Kjpgr2Sjqk8 Unsplash Scaled,Other,100,
earl-wilcox-kjpgr2sjqk8-unsplash.jpg,/static/images/products/earl-wilcox-kjpgr2sjqk8-unsplash.jpg,NO,Earl Wilcox Kjpgr2Sjqk8 Unsplash,Other,100,
elakai.jpg,/static/images/products/elakai.jpg,YES,Elakai,Spices,100,
elakai1.png,/static/images/products/elakai1.png,YES,Elakai1,Spices,100,
elantha-pazham-tea.jpeg,/static/images/products/elantha-pazham-tea.jpeg,NO,Elantha Pazham Tea,Herbal,100,
ellu-podi.jpg,/static/images/products/ellu-podi.jpg,YES,Ellu Podi,Other,100,
ellu.jpg,/static/images/products/ellu.jpg,YES,Ellu,Other,100,
family.png,/static/images/products/family.png,YES,Family,Other,100,
farmers.jpg,/static/images/products/farmers.jpg,NO,Farmers,Other,100,
farmersj.png,/static/images/products/farmersj.png,NO,Farmersj,Other,100,
fenu.jpg,/static/images/products/fenu.jpg,YES,Fenu,Other,100,
festival-scaled.jpg,/static/images/products/festival-scaled.jpg,NO,Festival Scaled,Other,100,
festival.jpg,/static/images/products/festival.jpg,YES,Festival,Other,100,
fig.jpg,/static/images/products/fig.jpg,YES,Fig,Other,100,
filter-coffee.jpg,/static/images/products/filter-coffee.jpg,YES,Filter Coffee,Other,100,
flax-seeds.jpg,/static/images/products/flax-seeds.jpg,YES,Flax Seeds,Other,100,
floor-cleaner.jpg,/static/images/products/floor-cleaner.jpg,YES,Floor Cleaner,Other,100,
flours.jpeg,/static/images/products/flours.jpeg,YES,Flours,Flours,100,
garam-masala.jpg,/static/images/products/garam-masala.jpg,YES,Garam Masala,Other,100,
ghee-500x500.jpeg,/static/images/products/ghee-500x500.jpeg,YES,Ghee,Other,100,
ghee.jpeg,/static/images/products/ghee.jpeg,YES,Ghee,Other,100,
goat.jpg,/static/images/products/goat.jpg,YES,Goat,Other,100,
graph1.png,/static/images/products/graph1.png,YES,Graph1,Other,100,
greengaram-adai-mix.jpg,/static/images/products/greengaram-adai-mix.jpg,NO,Greengaram Adai Mix,Other,100,
groundnut-oil-500x500.jpg,/static/images/products/groundnut-oil-500x500.jpg,YES,Groundnut Oil,Oils,100,
groundnut-oil.jpg,/static/images/products/groundnut-oil.jpg,YES,Groundnut Oil,Oils,100,
gulkand.jpg,/static/images/products/gulkand.jpg,YES,Gulkand,Other,100,
gum-asafoetida-500x500.jpg,/static/images/products/gum-asafoetida-500x500.jpg,YES,Gum Asafoetida,Other,100,
gum-asafoetida.jpg,/static/images/products/gum-asafoetida.jpg,YES,Gum Asafoetida,Other,100,
hair-wash.jpeg,/static/images/products/hair-wash.jpeg,YES,Hair Wash,Other,100,
handpound-rice.jpg,/static/images/products/handpound-rice.jpg,YES,Handpound Rice,Rice,100,
happy-farmers.jpg,/static/images/products/happy-farmers.jpg,NO,Happy Farmers,Other,100,
hc11.jpg,/static/images/products/hc11.jpg,YES,Hc11,Other,100,
healthy-life.jpg,/static/images/products/healthy-life.jpg,YES,Healthy Life,Other,100,
herbal-dhoop-e1695897458759.jpg,/static/images/products/herbal-dhoop-e1695897458759.jpg,YES,Herbal Dhoop E1695897458759,Herbal,100,
herbal-dhoop.jpg,/static/images/products/herbal-dhoop.jpg,YES,Herbal Dhoop,Herbal,100,
herbal-tea.jpg,/static/images/products/herbal-tea.jpg,YES,Herbal Tea,Herbal,100,
herbal.jpg,/static/images/products/herbal.jpg,YES,Herbal,Herbal,100,
hill-honey.jpg,/static/images/products/hill-honey.jpg,YES,Hill Honey,Sweeteners,100,
home-care.jpg,/static/images/products/home-care.jpg,YES,Home Care,Other,100,
home-made-soap.jpg,/static/images/products/home-made-soap.jpg,NO,Home Made Soap,Personal Care,100,
honey.jpg,/static/images/products/honey.jpg,YES,Honey,Sweeteners,100,
hot-tea.jpg,/static/images/products/hot-tea.jpg,YES,Hot Tea,Herbal,100,
